slot_type,group,word,n,density_mean,density_median,density_p25,density_p75,curvature_mean,curvature_median,curvature_p25,curvature_p75
adjectives,low,huge,10,1.028701541628581,1.0250769725434812,0.9535687524859312,1.077461621753587,0.8903594315052032,0.8973607122898102,0.8780829608440399,0.9138087630271912
spatial_relations,high,on,794,1.0773478045104934,1.06943424321142,1.0248974798245614,1.122446573045531,0.8943112524090245,0.8974531590938568,0.8826077878475189,0.9095689058303833
spatial_relations,high,in,554,1.0737806063818585,1.0700762019947967,1.021471003962216,1.117774768772972,0.8951377929978422,0.8969766795635223,0.8836336135864258,0.9100862443447113
spatial_relations,high,at,171,1.065862747081854,1.06432491477434,1.0228865779186465,1.111540679471814,0.8923625799647549,0.8946175575256348,0.8798393607139587,0.9077180922031403
spatial_relations,high,from,122,1.0613781729930278,1.045821540481195,1.0124579252690982,1.099107147640609,0.894395147679282,0.8968946039676666,0.8834141194820404,0.9064403176307678
spatial_relations,high,over,76,1.095077332014089,1.0897524916406194,1.0342802832798086,1.1452125774190722,0.8954555117770245,0.8974531590938568,0.8862324059009552,0.9097333997488022
spatial_relations,low,off,10,1.071244287449622,1.0547131760976916,0.9856773490037817,1.1435831750061012,0.9019943594932556,0.9006122648715973,0.8933924436569214,0.9126729667186737
spatial_relations,low,between,11,1.0485901083102775,1.0240259900859994,1.0124848652661789,1.0722491161593026,0.8976509733633562,0.899580717086792,0.888655960559845,0.9039822816848755
spatial_relations,low,in the background,11,1.029327420933088,1.0219241353607529,1.0040037557749624,1.0584270375773412,0.8922483270818536,0.8934562802314758,0.8803662359714508,0.9070698022842407
spatial_relations,low,next to,12,1.0650771566073158,1.0720662094657278,1.0268587871125154,1.103267835431456,0.890810584028562,0.9018768072128296,0.8718964904546738,0.9166889041662216
spatial_relations,low,before,13,1.0389452221731363,1.0471359387086352,0.9938108913510767,1.0860427124142473,0.8983924205486591,0.9029589295387268,0.8873453140258789,0.9119209051132202
